Title,ID,SYSID,NameMAC,DescriptionMAC,Status,Duration,Fre,QRCode,Modified,Created,Modified By
,"37","8","Bồn dầu ",,"1","90","240","HMP-Boiler-Bồn dầu ","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"38","8","Nước cấp vào Lò",,"1","90","240","HMP-Boiler-Nước cấp vào Lò","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"39","8","IHI No.1",,"1","90","240","HMP-Boiler-IHI No.1","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"40","8","IHI No.2",,"1","90","240","HMP-Boiler-IHI No.2","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"41","8","IHI No.3",,"1","90","240","HMP-Boiler-IHI No.3","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"42","8","MIURA",,"1","90","240","HMP-Boiler-MIURA","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"43","9","CE68A G1215",,"1","90","240","HMP-HP AC-CE68A G1215","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"44","9","CE68A G1122",,"1","90","240","HMP-HP AC-CE68A G1122","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"45","9","VH21H3N",,"1","90","240","HMP-HP AC-VH21H3N","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"46","9","WH40H3N",,"1","90","240","HMP-HP AC-WH40H3N","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"47","9","AF L5A",,"1","90","240","HMP-HP AC-AF L5A","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"48","9","HP system",,"1","90","240","HMP-HP AC-HP system","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"49","10","IR132 No.1",,"1","90","240","HMP-LP AC-IR132 No.1","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"50","10","IR132 No.2",,"1","90","240","HMP-LP AC-IR132 No.2","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"51","10","IR90 No.3",,"1","90","240","HMP-LP AC-IR90 No.3","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
