Title_x,MACID,SYSID,NameMAC,DescriptionMAC,Status,Duration,Fre,QRCode_x,Modified_x,Created_x,Modified By,Title_y,PLANTID,NameSYS,DescriptionSYS,QRCode_y,Modified_y,Created_y,Title,NameP,AddressP
,17,3,CE6,,0,20,240,QNP-HP AC-CE6,7/27/2021 12:12 AM,7/20/2021 2:27 AM,Hung Pham Truong {SPVB},,4,HP AC,Hệ thống HP AC,QNP-HP AC,7/23/2021 7:44 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
,18,4,ZT22,,1,20,240,QNP-LP AC-ZT22,7/27/2021 12:13 AM,7/20/2021 2:27 AM,Hung Pham Truong {SPVB},,4,LP AC,Hệ thống LP AC,QNP-LP AC,7/23/2021 7:44 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
,19,4,ZT37VSD,,1,20,240,QNP-LP AC-ZT37VSD,7/26/2021 8:12 AM,7/20/2021 2:27 AM,Hung Pham Truong {SPVB},,4,LP AC,Hệ thống LP AC,QNP-LP AC,7/23/2021 7:44 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
,20,4,ZT55VSD,,1,20,240,QNP-LP AC-ZT55VSD,12/14/2021 5:29 AM,7/20/2021 2:27 AM,Hung Pham Truong {SPVB},,4,LP AC,Hệ thống LP AC,QNP-LP AC,7/23/2021 7:44 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
,21,4,IR132,,1,20,240,QNP-LP AC-IR132,7/26/2021 8:04 PM,7/20/2021 2:27 AM,Hung Pham Truong {SPVB},,4,LP AC,Hệ thống LP AC,QNP-LP AC,7/23/2021 7:44 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
,22,4,Hitachi55,,0,20,240,QNP-LP AC-Hitachi55,7/26/2021 8:05 PM,7/20/2021 2:27 AM,Hung Pham Truong {SPVB},,4,LP AC,Hệ thống LP AC,QNP-LP AC,7/23/2021 7:44 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
,252,4,IR132-LP6,Máy nén thấp áp 6,1,20,240,QNP-LPAC-IR132-LP6,12/15/2021 5:04 PM,12/14/2021 5:31 AM,Hung Pham Truong {SPVB},,4,LP AC,Hệ thống LP AC,QNP-LP AC,7/23/2021 7:44 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
,23,5,Evaporizer N0.1,,1,20,240,QNP-CO2 và N2-Evaporizer N0.1,7/25/2021 12:40 AM,7/20/2021 2:27 AM,Hung Pham Truong {SPVB},,4,CO2 và N2,Hệ thống CO2 và N2,QNP-CO2 và N2,7/23/2021 7:44 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
,24,5,Evaporizer N0.2,,0,20,240,QNP-CO2 và N2-Evaporizer N0.2,7/24/2021 8:40 PM,7/20/2021 2:27 AM,Hung Pham Truong {SPVB},,4,CO2 và N2,Hệ thống CO2 và N2,QNP-CO2 và N2,7/23/2021 7:44 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
,25,5,SPVB,,1,20,240,QNP-CO2 và N2-SPVB,7/23/2021 2:42 PM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,4,CO2 và N2,Hệ thống CO2 và N2,QNP-CO2 và N2,7/23/2021 7:44 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
,26,5,MESSER,,1,20,240,QNP-CO2 và N2-MESSER,1/2/2022 4:11 PM,7/20/2021 2:27 AM,Hung Pham Truong {SPVB},,4,CO2 và N2,Hệ thống CO2 và N2,QNP-CO2 và N2,7/23/2021 7:44 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
,255,5,Tank N2 1,Tank N2 1,1,20,240,QNP-CO2 và N2-Tank N2 1,1/2/2022 4:11 PM,1/2/2022 4:11 PM,Hung Pham Truong {SPVB},,4,CO2 và N2,Hệ thống CO2 và N2,QNP-CO2 và N2,7/23/2021 7:44 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
,256,5,Tank N2 2,Tank N2 2,1,20,240,QNP-CO2 và N2-Tank N2 2,1/2/2022 4:13 PM,1/2/2022 4:12 PM,Hung Pham Truong {SPVB},,4,CO2 và N2,Hệ thống CO2 và N2,QNP-CO2 và N2,7/23/2021 7:44 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
,27,6,Cooling tower,,1,20,240,QNP-Cooling Tower và Chiller-Cooling tower,7/26/2021 8:09 PM,7/20/2021 2:27 AM,Hung Pham Truong {SPVB},,4,Cooling Tower và Chiller,Hệ thống lạnh Cooling Tower và Chiller,QNP-Cooling Tower và Chiller,7/23/2021 7:44 AM,7/19/2021 8:31 PM,QNP,Quang Nam Plant,QuangNam
,28,7,VILTER No.1,,1,90,240,HMP-Hệ thống lạnh NH3-VILTER No.1,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,NH3,Hệ thống lạnh NH3,HMP-Hệ thống lạnh NH3,9/1/2021 7:17 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,29,7,VILTER No.2,,1,90,240,HMP-Hệ thống lạnh NH3-VILTER No.2,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,NH3,Hệ thống lạnh NH3,HMP-Hệ thống lạnh NH3,9/1/2021 7:17 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,30,7,VILTER No.3,,1,90,240,HMP-Hệ thống lạnh NH3-VILTER No.3,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,NH3,Hệ thống lạnh NH3,HMP-Hệ thống lạnh NH3,9/1/2021 7:17 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,31,7,VILTER No.4,,1,90,240,HMP-Hệ thống lạnh NH3-VILTER No.4,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,NH3,Hệ thống lạnh NH3,HMP-Hệ thống lạnh NH3,9/1/2021 7:17 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,32,7,VILTER No.5,,1,90,240,HMP-Hệ thống lạnh NH3-VILTER No.5,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,NH3,Hệ thống lạnh NH3,HMP-Hệ thống lạnh NH3,9/1/2021 7:17 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,33,7,VILTER No.6,,1,90,240,HMP-Hệ thống lạnh NH3-VILTER No.6,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,NH3,Hệ thống lạnh NH3,HMP-Hệ thống lạnh NH3,9/1/2021 7:17 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,34,7,Carbo line A,,1,90,240,HMP-Hệ thống lạnh NH3-Carbo line A,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,NH3,Hệ thống lạnh NH3,HMP-Hệ thống lạnh NH3,9/1/2021 7:17 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,36,7,NH3 system,,1,90,240,HMP-Hệ thống lạnh NH3-NH3 system,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,NH3,Hệ thống lạnh NH3,HMP-Hệ thống lạnh NH3,9/1/2021 7:17 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,37,8,Bồn dầu ,,1,90,240,HMP-Boiler-Bồn dầu ,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,Boiler,Hệ thống Boiler,HMP-Boiler,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,38,8,Nước cấp vào Lò,,1,90,240,HMP-Boiler-Nước cấp vào Lò,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,Boiler,Hệ thống Boiler,HMP-Boiler,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,39,8,IHI No.1,,1,90,240,HMP-Boiler-IHI No.1,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,Boiler,Hệ thống Boiler,HMP-Boiler,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
